Name,lon,lat,Controlofinstitution,Website,Acceptance_Rate,State_name,Highest_degree_offered,,Total_Matriculates
Central Michigan University,-84.775275,43.591137,Public,https://www.cmich.edu/Pages/default.aspx,63,Michigan,Doctor's degree,,2963
Central State University,-83.876795,39.716465,Public,http://www.centralstate.edu/index.php,33,Ohio,Master's degree,,420
Central Washington University,-120.537716,47.004957,Public,http://www.cwu.edu/,82,Washington,Master's degree,,1502
Centre College,-84.779175,37.645102,Private,https://www.centre.edu/,69,Kentucky,Bachelor's degree,,377
Chadron State College,-103.002793,42.820672,Public,http://www.csc.edu/,99,Nebraska,Master's degree,,1177
Chaminade University of Honolulu,-157.807642,21.290274,Private,https://www.chaminade.edu/,84,Hawaii,Master's degree,,267
Champlain College,-73.204354,44.47295,Private,http://www.champlain.edu/,71,Vermont,Master's degree,,594
Chapman University,-117.851481,33.793678,Private,https://www.chapman.edu/,45,California,Doctor's degree,,1289
Charleston Southern University,-80.069288,32.981986,Private,http://www.csuniv.edu/,69,South Carolina,Master's degree,,656
Chatham University,-79.926083,40.448432,Private,http://www.chatham.edu/,61,Pennsylvania,Doctor's degree,,92
Chestnut Hill College,-75.228847,40.087048,Private,https://www.chc.edu/,58,Pennsylvania,Doctor's degree,,192
Cheyney University of Pennsylvania,-75.529378,39.932293,Public,http://www.cheyney.edu/,87,Pennsylvania,Master's degree,,89
Chicago State University,-87.610344,41.718813,Public,https://www.csu.edu/,29,Illinois,Doctor's degree,,276
Chowan University,-77.099141,36.436258,Private,https://www.chowan.edu/,62,North Carolina,Master's degree,,474
Christian Brothers University,-89.983241,35.127437,Private,https://www.cbu.edu/,47,Tennessee,Master's degree,,254
Christopher Newport University,-76.486978,37.061502,Public,http://cnu.edu/,59,Virginia,Master's degree,,1276
Citadel Military College of South Carolina,-79.961399,32.796975,Public,http://www.citadel.edu/root/,80,South Carolina,Master's degree,,676
City College-Fort Lauderdale,-80.17007,26.18748,Private,http://www.citycollege.edu/,100,Florida,Bachelor's degree,,220
City College-Gainesville,-82.4168,29.65601,Private,http://www.citycollege.edu/,92,Florida,Bachelor's degree,,103
City College-Miami,-80.316377,25.683673,Private,http://www.citycollege.edu/,100,Florida,Bachelor's degree,,
City University of Seattle,-122.344331,47.61734,Private,http://www.cityu.edu/,100,Washington,Doctor's degree,,853
Claflin University,-80.854368,33.497367,Private,http://www.claflin.edu/,53,South Carolina,Master's degree,,435
Claremont McKenna College,-117.706593,34.102323,Private,https://www.cmc.edu/,12,California,Master's degree,,337
Clarion University of Pennsylvania,-79.374775,41.209676,Public,http://www.clarion.edu/,93,Pennsylvania,Master's degree,,1072
Clark Atlanta University,-84.412818,33.748772,Private,http://www.cau.edu/,57,Georgia,Doctor's degree,,781
Clark University,-71.823537,42.251064,Private,http://www.clarku.edu/,62,Massachusetts,Doctor's degree,,621
Clarke University,-90.691512,42.508619,Private,http://www.clarke.edu/,78,Iowa,Doctor's degree,,181
Clarkson University,-74.999947,44.663761,Private,https://www.clarkson.edu/,64,New York,Doctor's degree,,757
Clayton  State University,-84.328174,33.594079,Public,http://www.clayton.edu/,48,Georgia,Master's degree,,545
Clearwater Christian College,-82.697305,27.963556,Private,https://www.clearwater.edu,70,Florida,Master's degree,,126
Clemson University,-82.834463,34.677329,Public,http://www.clemson.edu/,58,South Carolina,Doctor's degree,,3463
Cleveland State University,-81.673052,41.502918,Public,http://www.csuohio.edu/,63,Ohio,Doctor's degree,,1727
Coastal Carolina University,-79.0126,33.794733,Public,https://www.coastal.edu/,74,South Carolina,Master's degree,,2206
Coe College,-91.657535,41.986383,Private,http://www.coe.edu/,62,Iowa,Master's degree,,390
Coker College,-80.067713,34.37709,Private,https://coker.edu/,53,South Carolina,Master's degree,,247
Colby College,-69.66337,44.564211,Private,https://www.colby.edu/,26,Maine,Bachelor's degree,,483
Colby-Sawyer College,-71.975805,43.411663,Private,http://colby-sawyer.edu/,83,New Hampshire,Bachelor's degree,,421
Coleman University,-117.136493,32.821962,Private,http://www.coleman.edu/,100,California,Master's degree,,60
Colgate University,-75.535,42.8188,Private,http://www.colgate.edu/,26,New York,Master's degree,,759
College America-Colorado Springs,-104.760241,38.840858,Private,http://www.collegeamerica.edu/colorado-springs,78,Colorado,Bachelor's degree,,
College America-Denver,-104.94118,39.691571,Private,http://www.collegeamerica.edu/denver,88,Colorado,Bachelor's degree,,465
College of Charleston,-79.937251,32.783142,Public,http://www.cofc.edu/,70,South Carolina,Master's degree,,2138
College of Mount Saint Vincent,-73.907019,40.912814,Private,https://mountsaintvincent.edu/,73,New York,Master's degree,,386
College of Mount St Joseph,-84.640143,39.094519,Private,http://www.msj.edu/,88,Ohio,Doctor's degree,,324
College of Our Lady of the Elms,-72.601541,42.14179,Private,http://www.elms.edu/,75,Massachusetts,Master's degree,,198
College of Saint Benedict,-94.31902,45.558609,Private,https://www.csbsju.edu/,76,Minnesota,Bachelor's degree,,538
College of Saint Elizabeth,-74.436039,40.781061,Private,http://www.cse.edu/,48,New Jersey,Doctor's degree,,124
College of Saint Mary,-96.020209,41.240879,Private,http://www.csm.edu/,57,Nebraska,Doctor's degree,,89
College of St Joseph,-73.007033,43.599777,Private,http://www.csj.edu/,68,Vermont,Master's degree,,33
College of Staten Island CUNY,-74.148701,40.603949,Public,http://www.csi.cuny.edu/,100,New York,Master's degree,,2556
College of the Atlantic,-68.228849,44.399584,Private,https://www.coa.edu/,74,Maine,Master's degree,,104
College of the Holy Cross,-71.808627,42.238942,Private,http://www.holycross.edu/,33,Massachusetts,Bachelor's degree,,722
College of the Ozarks,-93.238174,36.616019,Private,https://www.cofo.edu/,13,Missouri,Bachelor's degree,,357
College of William and Mary,-76.709395,37.27195,Public,http://www.wm.edu/,33,Virginia,Doctor's degree,,1479
